notif_id,all,interacted,interaction_rate,category
415246,9751,355,0.03640652240795816,7
415270,14486,1029,0.07103410189148143,7
415330,9758,324,0.03320352531256405,7
415366,24399,1610,0.06598631091438174,7
415374,48062,2656,0.05526195331030752,7
415383,10419,580,0.05566753047317401,7
415436,18423,1250,0.06784997014601314,7
415463,8232,309,0.037536443148688044,7
415470,11352,754,0.0664200140944327,7
415482,6562,240,0.0365742151782993,7
415549,4930,356,0.07221095334685598,7
415552,18189,1707,0.09384793006762329,7
415566,52220,2083,0.03988893144389123,7
415568,10607,414,0.0390308286980296,7
415576,14109,641,0.04543199376284641,7
415587,46932,2860,0.06093923122815989,7
415588,13267,809,0.060978367377704075,7
415589,4580,230,0.05021834061135371,7
415590,27008,1608,0.059537914691943125,7
415593,23609,1076,0.04557583972213986,7
415597,33149,1141,0.034420344505113276,7
415599,6035,520,0.08616404308202154,0
415605,5530,234,0.04231464737793852,7
415607,7418,291,0.039228902669183066,7
415627,18182,829,0.045594544054559455,7
415653,7886,285,0.036139994927720014,7
415717,7943,399,0.05023290948004532,7
415720,10732,509,0.04742825195676482,0
415726,6323,347,0.05487901312668037,7
415780,7511,378,0.05032618825722274,7
415781,8849,421,0.04757599728782913,7
415796,10414,304,0.029191473017092375,7
415805,19823,1296,0.0653786006154467,7
415855,9884,912,0.09227033589639821,0
415859,6458,230,0.03561474140600805,7
415864,4339,260,0.05992164093109011,0
415866,8473,262,0.030921751445768912,7
415879,15927,1161,0.07289508381992843,0
415906,7359,743,0.10096480500067943,7
415908,24475,1338,0.05466802860061287,2
415928,5176,226,0.04366306027820711,3
415941,12222,1349,0.11037473408607429,7
415948,9093,929,0.10216650170460793,7
415963,24330,2018,0.08294286888614878,3
415968,5982,314,0.05249080575058509,5
415977,7122,200,0.02808199943836001,7
415987,5461,477,0.08734663980955869,3
415999,3958,142,0.0358767054067711,7
416041,13308,2020,0.15178839795611662,7
416066,32442,4372,0.13476357807780037,7
416143,13036,1576,0.12089598036207426,7
416171,10289,621,0.06035571970065118,7
416198,10479,751,0.07166714381143238,7
416258,7794,489,0.06274056966897613,7
416260,7398,390,0.05271695052716951,3
416266,5719,358,0.0625983563560063,3
416267,9914,538,0.05426669356465604,3
416273,19674,1343,0.06826268171190404,7
416277,38497,1786,0.04639322544613866,3
416287,8371,518,0.06188030103930235,3
416290,7257,439,0.060493316797574755,3
416293,5125,256,0.049951219512195125,3
416297,8790,352,0.040045506257110355,3
416298,23420,1779,0.07596071733561059,3
416301,5380,363,0.0674721189591078,3
416311,38519,1574,0.04086295075157714,2
416318,7054,378,0.05358661752197335,3
416333,4832,190,0.03932119205298013,3
416336,12870,859,0.06674436674436675,3
416354,3286,130,0.03956177723676202,3
416364,6354,416,0.06547056971986151,7
416367,3287,184,0.05597809552783693,2
416369,2266,124,0.05472197705207414,3
416377,8483,299,0.03524696451726984,3
416390,7701,287,0.03726788728736528,3
416399,9601,615,0.06405582751796687,7
416413,24225,2934,0.12111455108359133,7
